time stock-price avg-price-5-min avg-price-10-5-min avg-vol-10-min avg-vol-20-10-min number-of-stocks portfolio-value 
917 210.66 210.67400000000004 210.51200000000003 627.3 481.6 0 29668.5
918 210.61 210.618 210.654 645.3 407.9 25 29668.5
919 210.53 210.564 210.782 626.2 180.9 50 29666.5
920 210.53 210.564 210.782 626.2 180.9 75 29666.5
921 210.39 210.5 210.86399999999998 582.0 230.1 100 29656.0
922 210.39 210.5 210.86399999999998 582.0 230.1 125 29656.0
923 210.39 210.5 210.86399999999998 582.0 230.1 150 29655.999999999996
924 210.2 210.47799999999998 210.73200000000003 441.0 390.7 0 29627.5
925 210.21 210.388 210.67400000000004 271.0 540.7 0 29627.5
926 209.92 210.25 210.618 359.8 551.2 0 29627.5
927 209.58 210.06 210.564 339.5 583.7 0 29627.5
928 209.61 209.904 210.5 353.1 593.7 0 29627.5
929 209.675 209.79900000000004 210.47799999999998 318.7 628.1 0 29627.5
930 209.49 209.65500000000003 210.388 328.5 627.3 0 29627.5
931 209.56 209.583 210.25 338.5 645.3 0 29627.5
932 209.89 209.64499999999998 210.06 358.5 626.2 0 29627.5
933 210.03 209.72899999999998 209.904 333.0 582.0 0 29627.5
934 209.835 209.76100000000002 209.79900000000004 367.0 441.0 0 29627.5
935 209.93 209.84900000000002 209.65500000000003 377.0 271.0 0 29627.5
936 210.09 209.95499999999998 209.583 298.2 359.8 0 29627.5
937 209.96 209.969 209.64499999999998 336.0 339.5 0 29627.5
938 209.77 209.917 209.72899999999998 325.1 353.1 0 29627.5
939 209.92 209.93400000000003 209.76100000000002 355.1 318.7 0 29627.5
940 209.93 209.93400000000003 209.84900000000002 375.1 328.5 0 29627.5
941 209.93 209.93400000000003 209.84900000000002 375.1 328.5 0 29627.5
942 209.75 209.86599999999999 209.95499999999998 355.4 338.5 25 29627.5
943 209.25 209.724 209.969 366.0 358.5 50 29615.0
944 209.25 209.724 209.969 366.0 358.5 75 29615.0
945 209.84 209.738 209.917 566.5 333.0 100 29659.25
946 209.68 209.69 209.93400000000003 568.7 367.0 125 29643.25
947 209.87 209.67799999999997 209.93400000000003 568.7 377.0 150 29667.0
948 209.995 209.727 209.86599999999999 678.1 298.2 175 29685.75
949 209.93 209.863 209.724 658.1 336.0 0 29674.375
950 209.85 209.865 209.738 710.4 325.1 0 29674.375
951 209.54 209.83700000000005 209.69 726.2 355.1 0 29674.375
952 209.54 209.83700000000005 209.69 726.2 355.1 0 29674.375
953 209.54 209.77100000000002 209.67799999999997 839.2 375.1 0 29674.375
954 209.64 209.7 209.727 1113.8 355.4 25 29674.375
955 209.76 209.666 209.863 1524.2 366.0 50 29677.375
956 209.38 209.57200000000003 209.865 1517.9 566.5 75 29658.375
957 209.38 209.57200000000003 209.865 1517.9 566.5 100 29658.375
958 209.15 209.494 209.83700000000005 1829.8 568.7 125 29635.375
959 209.3 209.446 209.77100000000002 2421.3 568.7 150 29654.125
