time stock-price decision number-of-stocks portfolio-value
840 199.16 1 0 30126.75
841 199.32 -1 50 30126.75
842 199.3 3 0 30125.75
843 199.3 1 0 30125.75
844 199.27 -1 50 30125.75
845 199.33 -1 100 30128.75
846 199.32 1 50 30127.75
847 199.38 3 0 30130.75
848 199.45 3 0 30130.75
849 199.46 5 0 30130.75
850 199.38 1 0 30130.75
851 199.43 -1 50 30130.75
852 199.43 1 0 30130.75
853 199.48 1 0 30130.75
854 199.49 3 0 30130.75
855 199.49 3 0 30130.75
856 199.5 5 0 30130.75
857 199.5 3 0 30130.75
858 199.47 1 0 30130.75
859 199.48 -1 50 30130.75
860 199.42 -3 100 30127.75
861 199.36 -3 150 30121.750000000004
862 199.34 -5 150 30118.75
863 199.36 -3 150 30121.750000000004
864 199.34 -3 150 30118.75
865 199.35 -3 150 30120.25
866 199.38 -1 150 30124.75
867 199.36 3 100 30121.75
868 199.35 1 50 30120.75
869 199.31 -1 100 30118.75
870 199.24 -3 150 30111.75
871 199.34 -3 150 30126.75
872 199.25 -1 150 30113.25
873 199.3 -1 150 30120.75
874 199.23 1 100 30110.25
875 199.28 -3 150 30115.25
876 199.22 -1 150 30106.25
877 199.265 -3 150 30112.999999999996
878 199.235 -1 150 30108.500000000004
879 199.27 -1 150 30113.75
880 199.28 3 100 30115.25
881 199.27 3 50 30114.25
882 199.32 1 0 30116.75
883 199.4 1 0 30116.75
884 199.26 3 0 30116.75
885 199.33 1 0 30116.75
886 199.33 1 0 30116.75
887 199.4 -1 50 30116.75
888 199.39 3 0 30116.25
889 199.42 5 0 30116.25
890 199.46 5 0 30116.25
891 199.47 5 0 30116.25
892 199.385 1 0 30116.25
893 199.37 -3 50 30116.25
894 199.42 -1 100 30118.75
895 199.36 -1 150 30112.750000000004
896 199.38 -3 150 30115.75
897 199.47 -1 150 30129.25
898 199.475 5 100 30130.0
899 199.455 1 50 30128.0
900 199.455 1 0 30128.0
901 199.125 -1 50 30128.0
902 199.15 -3 100 30129.25
903 199.25 -1 150 30139.25
904 199.18 -1 150 30128.75
905 199.075 -1 150 30113.0
906 199.075 -1 150 30113.0
907 199.09 -1 150 30115.25
908 199.19 -1 150 30130.25
909 199.17 -1 150 30127.249999999996
910 199.175 3 100 30128.0
911 199.24 3 50 30134.5
912 199.21 3 0 30133.0
913 199.28 3 0 30133.0
914 199.225 3 0 30133.0
915 199.225 3 0 30133.0
916 199.25 3 0 30133.0
917 199.32 -1 50 30133.0
918 199.3 3 0 30132.0
919 199.31 3 0 30132.0
920 199.4 3 0 30132.0
921 199.49 5 0 30132.0
922 199.425 3 0 30132.0
923 199.41 1 0 30132.0
924 199.46 1 0 30132.0
925 199.45 1 0 30132.0
926 199.53 1 0 30132.0
927 199.55 5 0 30132.0
928 199.55 5 0 30132.0
929 199.555 5 0 30132.0
930 199.61 3 0 30132.0
931 199.52 3 0 30132.0
932 199.52 -1 50 30132.0
933 199.5 -1 100 30131.0
934 199.5 -5 150 30131.0
935 199.52 -3 150 30134.0
936 199.66 -1 150 30155.0
937 199.67 5 100 30156.5
938 199.64 1 50 30153.5
939 199.59 -1 100 30151.0
940 199.6 -1 150 30152.0
941 199.59 -3 150 30150.5
942 199.62 -1 150 30155.0
943 199.65 3 100 30159.5
944 199.68 5 50 30162.5
945 199.68 5 0 30162.5
946 199.65 3 0 30162.5
947 199.66 1 0 30162.5
948 199.63 -1 50 30162.5
949 199.65 -3 100 30163.5
950 199.65 -3 150 30163.5
951 199.73 -1 150 30175.5
952 199.83 3 100 30190.5
953 199.91 5 50 30198.5
954 199.91 5 0 30198.5
955 199.74 1 0 30198.5
956 199.67 -1 50 30198.5
957 199.64 -3 100 30197.0
958 199.61 -5 150 30194.000000000004
959 199.38 -5 150 30159.5
